nombre,categoria,direccion,telefono,telefono_normalizado,web,rating,oportunidad,link_maps
Mirador de Luz Complejo de Cabañas,,"X5152 Villa Carlos Paz, Córdoba, Argentina",,,,5.0,🔴 Sin web,https://www.google.com/maps/place/Mirador+de+Luz+Complejo+de+Caba%C3%B1as/data=!4m11!3m10!1s0x942d658bd973bf9d:0x468bfa3260305bf9!5m2!4m1!1i2!8m2!3d-31.3729744!4d-64.522728!16s%2Fg%2F11yq_b8fqv!17BQ0FF!19sChIJnb9z2YtlLZQR-VswYDL6i0Y?authuser=0&hl=es-419&rclk=1
¡¡¡ COMPLEJO DE CABAÑAS SOL ETERNO !!!,,"X5158, Córdoba, Argentina",,,,4.5,🔴 Sin web,https://www.google.com/maps/place/%C2%A1%C2%A1%C2%A1+COMPLEJO+DE+CABA%C3%91AS+SOL+ETERNO+!!!/data=!4m11!3m10!1s0x942d65a24933f211:0x71ecf465e3b26179!5m2!4m1!1i2!8m2!3d-31.3589706!4d-64.5004807!16s%2Fg%2F11ys61bkv5!17BQ0FF!19sChIJEfIzSaJlLZQReWGy42X07HE?authuser=0&hl=es-419&rclk=1
Cabañas Roca Roma,,"X5152 Villa Carlos Paz, Córdoba, Argentina",,,,4.7,🔴 Sin web,https://www.google.com/maps/place/Caba%C3%B1as+Roca+Roma/data=!4m11!3m10!1s0x942d661073524093:0xd214587d42062b13!5m2!4m1!1i2!8m2!3d-31.4096508!4d-64.514389!16s%2Fg%2F11mzs5tx1d!17BQ0FF!19sChIJk0BScxBmLZQREysGQn1YFNI?authuser=0&hl=es-419&rclk=1
Cabañas Punta Paraíso,,"X5155, Córdoba, Argentina",,,,5.0,🔴 Sin web,https://www.google.com/maps/place/Caba%C3%B1as+Punta+Para%C3%ADso/data=!4m11!3m10!1s0x942d657e3a9a2921:0x8d76b1a1508c34cb!5m2!4m1!1i2!8m2!3d-31.3539715!4d-64.5257874!16s%2Fg%2F11yx5pzrt6!17BQ0FF!19sChIJISmaOn5lLZQRyzSMUKGxdo0?authuser=0&hl=es-419&rclk=1
Cabañas Las Acacias de VSCL,,"X5152 Villa Carlos Paz, Córdoba, Argentina",,,,5.0,🔴 Sin web,https://www.google.com/maps/place/Caba%C3%B1as+Las+Acacias+de+VSCL/data=!4m11!3m10!1s0x942d6591ed9dc7db:0x21cba8f4e9ed839d!5m2!4m1!1i2!8m2!3d-31.3700314!4d-64.5135117!16s%2Fg%2F11ms9s33nw!17BQ0FF!19sChIJ28ed7ZFlLZQRnYPt6fSoyyE?authuser=0&hl=es-419&rclk=1
El Paraíso Complejo de Cabañas,,"X5152 Villa Carlos Paz, Córdoba, Argentina",,,,4.9,🔴 Sin web,https://www.google.com/maps/place/El+Para%C3%ADso+Complejo+de+Caba%C3%B1as/data=!4m11!3m10!1s0x942d6636a65439df:0xe59da4d86bd5f378!5m2!4m1!1i2!8m2!3d-31.4333153!4d-64.508255!16s%2Fg%2F11ms9s6zch!17BQ0FF!19sChIJ3zlUpjZmLZQRePPVa9ikneU?authuser=0&hl=es-419&rclk=1
cabaña Los Algarrobos,,"X5152 Villa Carlos Paz, Córdoba, Argentina",,,,,🔴 Sin web,https://www.google.com/maps/place/caba%C3%B1a+Los+Algarrobos/data=!4m11!3m10!1s0x942d658c5b8e36e5:0xedada89cd500e3a7!5m2!4m1!1i2!8m2!3d-31.3741054!4d-64.5188293!16s%2Fg%2F11yq_5v0vx!17BQ0FF!19sChIJ5TaOW4xlLZQRp-MA1Zyore0?authuser=0&hl=es-419&rclk=1
"El Paraiso , cabañas ( sobre la playa del lago)",,"Córdoba, Argentina",,,,4.8,🔴 Sin web,"https://www.google.com/maps/place/El+Paraiso+,+caba%C3%B1as+%28+sobre+la+playa+del+lago%29/data=!4m11!3m10!1s0x942d65ce731c40bb:0x4292ca35516f8364!5m2!4m1!1i2!8m2!3d-31.3794327!4d-64.4857254!16s%2Fg%2F11ms9r4fvj!17BQ0FF!19sChIJu0Acc85lLZQRZINvUTXKkkI?authuser=0&hl=es-419&rclk=1"
Cabañas de Tronco,,"X5152 Villa Carlos Paz, Córdoba, Argentina",,,,5.0,🔴 Sin web,https://www.google.com/maps/place/Caba%C3%B1as+de+Tronco/data=!4m11!3m10!1s0x942d65dfba9e9ecf:0x4992e801f2746f6f!5m2!4m1!1i2!8m2!3d-31.3927708!4d-64.5008468!16s%2Fg%2F11ys60h_4s!17BQ0FF!19sChIJz56eut9lLZQRb2908gHokkk?authuser=0&hl=es-419&rclk=1
Cabañas Ensueño Serrano,,"X5153, Córdoba, Argentina",,,,4.9,🔴 Sin web,https://www.google.com/maps/place/Caba%C3%B1as+Ensue%C3%B1o+Serrano/data=!4m11!3m10!1s0x942d67de1ad27067:0x881f4234fd677239!5m2!4m1!1i2!8m2!3d-31.462616!4d-64.5214767!16s%2Fg%2F11yrhdxnp0!17BQ0FF!19sChIJZ3DSGt5nLZQROXJn_TRCH4g?authuser=0&hl=es-419&rclk=1
